"","Año","Clave_Ent","Entidad","Bien.jurídico.afectado","Tipo.de.delito","Subtipo.de.delito","Modalidad","Sexo","Rango.de.edad","Enero","Febrero","Marzo","Abril","Mayo","Junio","Julio","Agosto","Septiembre","Octubre","Noviembre","Diciembre"
"69",2017,14,"Jalisco","La vida y la Integridad corporal","Feminicidio","Feminicidio","Con arma de fuego","Mujer","No especificado",0,0,0,0,0,0,0,0,0,0,0,0
"70",2017,14,"Jalisco","La vida y la Integridad corporal","Feminicidio","Feminicidio","Con arma blanca","Mujer","No especificado",0,0,0,0,1,0,0,0,0,1,0,0
"71",2017,14,"Jalisco","La vida y la Integridad corporal","Feminicidio","Feminicidio","Con otro elemento","Mujer","No especificado",0,0,0,0,0,0,0,0,0,0,1,0
"72",2017,14,"Jalisco","La vida y la Integridad corporal","Feminicidio","Feminicidio","No especificado","Mujer","No especificado",0,0,0,0,0,0,0,0,0,0,0,0
"73",2018,14,"Jalisco","La vida y la Integridad corporal","Homicidio","Homicidio doloso","Con arma de fuego","Mujer","Menores de edad (0-17)",0,0,0,1,1,1,1,2,0,1,0,0
"74",2018,14,"Jalisco","La vida y la Integridad corporal","Homicidio","Homicidio doloso","Con arma blanca","Mujer","Menores de edad (0-17)",0,0,0,0,1,0,0,0,0,0,0,0
"75",2018,14,"Jalisco","La vida y la Integridad corporal","Homicidio","Homicidio doloso","Con otro elemento","Mujer","Menores de edad (0-17)",0,0,2,1,0,0,0,2,0,0,1,0
"76",2018,14,"Jalisco","La vida y la Integridad corporal","Homicidio","Homicidio doloso","No especificado","Mujer","Menores de edad (0-17)",0,0,0,0,0,0,0,0,0,0,0,0
"77",2018,14,"Jalisco","La vida y la Integridad corporal","Feminicidio","Feminicidio","Con arma de fuego","Mujer","Menores de edad (0-17)",0,0,0,0,0,0,0,0,0,0,0,0
"78",2018,14,"Jalisco","La vida y la Integridad corporal","Feminicidio","Feminicidio","Con arma blanca","Mujer","Menores de edad (0-17)",0,0,0,0,0,0,0,0,0,0,0,0
