"","fecha","zona","sexo","registro","mes","año","month"
"154",2020-04-21,"Puerto Vallarta","Mujeres",2,"2020-04","2020","Abril"
"155",2020-04-21,"Estado de Jalisco","Mujeres",44,"2020-04","2020","Abril"
"156",2020-04-21,"AVGM","Mujeres",35,"2020-04","2020","Abril"
"157",2020-04-22,"AVGM","Mujeres",21,"2020-04","2020","Abril"
"158",2020-04-22,"Puerto Vallarta","Mujeres",5,"2020-04","2020","Abril"
"159",2020-04-22,"Estado de Jalisco","Mujeres",30,"2020-04","2020","Abril"
"160",2020-04-23,"Estado de Jalisco","Mujeres",36,"2020-04","2020","Abril"
"161",2020-04-23,"AVGM","Mujeres",21,"2020-04","2020","Abril"
"162",2020-04-23,"Puerto Vallarta","Mujeres",4,"2020-04","2020","Abril"
"163",2020-04-24,"Puerto Vallarta","Mujeres",1,"2020-04","2020","Abril"
"164",2020-04-24,"AVGM","Mujeres",26,"2020-04","2020","Abril"
"165",2020-04-24,"Estado de Jalisco","Mujeres",34,"2020-04","2020","Abril"
"166",2020-04-25,"Puerto Vallarta","Mujeres",1,"2020-04","2020","Abril"
"167",2020-04-25,"Estado de Jalisco","Mujeres",20,"2020-04","2020","Abril"
"168",2020-04-25,"AVGM","Mujeres",16,"2020-04","2020","Abril"
"169",2020-04-26,"Puerto Vallarta","Mujeres",0,"2020-04","2020","Abril"
"170",2020-04-26,"Estado de Jalisco","Mujeres",24,"2020-04","2020","Abril"
"171",2020-04-26,"AVGM","Mujeres",20,"2020-04","2020","Abril"
"172",2020-04-27,"AVGM","Mujeres",28,"2020-04","2020","Abril"
"173",2020-04-27,"Estado de Jalisco","Mujeres",37,"2020-04","2020","Abril"
"174",2020-04-27,"Puerto Vallarta","Mujeres",0,"2020-04","2020","Abril"
"175",2020-04-28,"Puerto Vallarta","Mujeres",2,"2020-04","2020","Abril"
"176",2020-04-28,"Estado de Jalisco","Mujeres",38,"2020-04","2020","Abril"
"177",2020-04-28,"AVGM","Mujeres",28,"2020-04","2020","Abril"
"178",2020-04-29,"Puerto Vallarta","Mujeres",0,"2020-04","2020","Abril"
"179",2020-04-29,"AVGM","Mujeres",25,"2020-04","2020","Abril"
"180",2020-04-29,"Estado de Jalisco","Mujeres",32,"2020-04","2020","Abril"
"181",2020-04-30,"Puerto Vallarta","Mujeres",6,"2020-04","2020","Abril"
"182",2020-04-30,"Estado de Jalisco","Mujeres",35,"2020-04","2020","Abril"
"183",2020-04-30,"AVGM","Mujeres",21,"2020-04","2020","Abril"
"184",2020-05-01,"Puerto Vallarta","Mujeres",2,"2020-05","2020","Mayo"
"185",2020-05-01,"Estado de Jalisco","Mujeres",21,"2020-05","2020","Mayo"
"186",2020-05-01,"AVGM","Mujeres",15,"2020-05","2020","Mayo"
"187",2020-05-02,"Puerto Vallarta","Mujeres",1,"2020-05","2020","Mayo"
"188",2020-05-02,"Estado de Jalisco","Mujeres",22,"2020-05","2020","Mayo"
"189",2020-05-02,"AVGM","Mujeres",17,"2020-05","2020","Mayo"
"190",2020-05-03,"Puerto Vallarta","Mujeres",1,"2020-05","2020","Mayo"
"191",2020-05-03,"Estado de Jalisco","Mujeres",27,"2020-05","2020","Mayo"
"192",2020-05-03,"AVGM","Mujeres",19,"2020-05","2020","Mayo"
"193",2020-05-04,"Puerto Vallarta","Mujeres",5,"2020-05","2020","Mayo"
"194",2020-05-04,"AVGM","Mujeres",22,"2020-05","2020","Mayo"
"195",2020-05-04,"Estado de Jalisco","Mujeres",36,"2020-05","2020","Mayo"
"196",2020-05-05,"AVGM","Mujeres",27,"2020-05","2020","Mayo"
"197",2020-05-05,"Puerto Vallarta","Mujeres",2,"2020-05","2020","Mayo"
"198",2020-05-05,"Estado de Jalisco","Mujeres",34,"2020-05","2020","Mayo"
"199",2020-05-06,"AVGM","Mujeres",29,"2020-05","2020","Mayo"
"200",2020-05-06,"Puerto Vallarta","Mujeres",3,"2020-05","2020","Mayo"
"201",2020-05-06,"Estado de Jalisco","Mujeres",38,"2020-05","2020","Mayo"
"202",2020-05-07,"Puerto Vallarta","Mujeres",4,"2020-05","2020","Mayo"
"203",2020-05-07,"AVGM","Mujeres",22,"2020-05","2020","Mayo"
"204",2020-05-07,"Estado de Jalisco","Mujeres",32,"2020-05","2020","Mayo"
"205",2020-05-08,"Puerto Vallarta","Mujeres",0,"2020-05","2020","Mayo"
"206",2020-05-08,"AVGM","Mujeres",20,"2020-05","2020","Mayo"
"207",2020-05-08,"Estado de Jalisco","Mujeres",32,"2020-05","2020","Mayo"
"208",2020-05-09,"Puerto Vallarta","Mujeres",0,"2020-05","2020","Mayo"
"209",2020-05-09,"AVGM","Mujeres",16,"2020-05","2020","Mayo"
"210",2020-05-09,"Estado de Jalisco","Mujeres",18,"2020-05","2020","Mayo"
"211",2020-05-10,"Puerto Vallarta","Mujeres",2,"2020-05","2020","Mayo"
"212",2020-05-10,"Estado de Jalisco","Mujeres",15,"2020-05","2020","Mayo"
"213",2020-05-10,"AVGM","Mujeres",13,"2020-05","2020","Mayo"
"214",2020-05-11,"Puerto Vallarta","Mujeres",2,"2020-05","2020","Mayo"
"215",2020-05-11,"Estado de Jalisco","Mujeres",43,"2020-05","2020","Mayo"
"216",2020-05-11,"AVGM","Mujeres",32,"2020-05","2020","Mayo"
"217",2020-05-12,"Puerto Vallarta","Mujeres",3,"2020-05","2020","Mayo"
"218",2020-05-12,"Estado de Jalisco","Mujeres",48,"2020-05","2020","Mayo"
"219",2020-05-12,"AVGM","Mujeres",31,"2020-05","2020","Mayo"
"220",2020-05-13,"Puerto Vallarta","Mujeres",2,"2020-05","2020","Mayo"
"221",2020-05-13,"AVGM","Mujeres",19,"2020-05","2020","Mayo"
"222",2020-05-13,"Estado de Jalisco","Mujeres",32,"2020-05","2020","Mayo"
"223",2020-05-14,"Estado de Jalisco","Mujeres",39,"2020-05","2020","Mayo"
"224",2020-05-14,"AVGM","Mujeres",25,"2020-05","2020","Mayo"
"225",2020-05-14,"Puerto Vallarta","Mujeres",2,"2020-05","2020","Mayo"
"226",2020-05-15,"Puerto Vallarta","Mujeres",0,"2020-05","2020","Mayo"
"227",2020-05-15,"Estado de Jalisco","Mujeres",39,"2020-05","2020","Mayo"
"228",2020-05-15,"AVGM","Mujeres",22,"2020-05","2020","Mayo"
"229",2020-05-16,"Puerto Vallarta","Mujeres",1,"2020-05","2020","Mayo"
"230",2020-05-16,"Estado de Jalisco","Mujeres",15,"2020-05","2020","Mayo"
"231",2020-05-16,"AVGM","Mujeres",11,"2020-05","2020","Mayo"
"232",2020-05-17,"Estado de Jalisco","Mujeres",26,"2020-05","2020","Mayo"
